NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
BATF3	1	Batf3	
SERPINB1	1	Serpinb1a	
ANXA1	1	Anxa1	
FMC1-LUC7L2	1	Fmc1	
ANXA2	1	Anxa2	
TCF15	1	Tcf15	
PLLP	1	Pllp	
TESC	1	Tesc	
ITPK1	1	Itpk1	
COPZ2	1	Copz2	
SERPINB9	4	Serpinb9b:Serpinb9g:Serpinb9d:Serpinb9e	
PAX5	1	Pax5	
ECRG4	1	1500015O10Rik	
PRSS12	1	Prss12	
SERPINB6	1	Serpinb6b	
C11orf87	1	AI593442	
MS4A6A	1	Ms4a6d	
TUBB2B	1	Tubb2b	
COL2A1	1	Col2a1	
ANGPTL7	1	Angptl7	
TAL2	1	Tal2	
GAS1	1	Gas1	
HCLS1	1	Hcls1	
ANGPTL4	1	Angptl4	
GAS6	1	Gas6	
GAS5	1	Gas5	
PLCB2	1	Plcb2	
IVL	1	Ivl	
GAS7	1	Gas7	
HBEGF	1	Hbegf	
WDR27	1	Wdr27	
CCL11	1	Ccl11	
GRP	1	Grp	
RPL10	1	Rpl10	
NDUFA4L2	1	Ndufa4l2	
MICOS10-NBL1	1	Nbl1	
SBSN	1	Sbsn	
ASCL2	1	Ascl2	
TMEM163	1	Tmem163	
FGD2	1	Fgd2	
NSD3	1	Nsd3	
GPNMB	1	Gpnmb	
EPCAM	1	Epcam	
OLFML3	1	Olfml3	
ABI3BP	1	Abi3bp	
RPL14	1	Rpl14	
RPS3	1	Rps3	
RPL13	2	Rpl13:Gm15710	
LINC-PINT	1	Lncpint	
RPS2	1	Rps2	
MBNL3	1	Mbnl3	
RPL18	1	Rpl18	
RPRM	1	Rprm	
ZNF101	1	Zfp976	
AOC1	2	Doxl2:1600015I10Rik	
CCL23	2	Ccl9:Ccl6	
CDKN2B	1	Cdkn2b	
CCL20	1	Ccl20	
CDKN2A	1	Cdkn2a	
SEPTIN2	1	Septin2	
AGL	1	Agl	
PCGF2	1	Pcgf2	
ECEL1	1	Ecel1	
ELP1	1	Elp1	
RFLNB	1	Fam101b	
LAPTM5	1	Laptm5	
